date,cas_confirmes,deces,reanimation,hospitalises,nouvelles_hospitalisations,nouvelles_reanimations,gueris
01/01/2020,,44985,,24296,,,194901
07/01/2020,2727321,46539,2582,24521,1438,180,200079
08/01/2020,,46815,,,,,
16/01/2020,2894347,48783,2741,25019,1197,188,209056
17/01/2020,2910989,48924,2776,25269,697,136,209343
24/01/2020,3,0,,3,,,
24/01/2020,3,0,0,3,,,
25/01/2020,3,0,0,,,,
26/01/2020,3,,0,,,,
27/01/2020,3,0,0,,,,
27/01/2020,3,0,0,3,,,0
28/01/2020,4,0,,4,,,
28/01/2020,4,0,1,4,,,0
29/01/2020,5,0,,5,,,
29/01/2020,5,0,2,5,,,0
30/01/2020,6,0,,6,,,
30/01/2020,6,0,2,6,,,0
31/01/2020,6,0,,6,,,
31/01/2020,6,0,2,6,,,0
02/02/2020,6,0,1,6,,,0
03/02/2020,6,0,,6,,,
03/02/2020,6,0,1,6,,,0
04/02/2020,6,0,1,6,,,0
05/02/2020,6,0,,6,,,
05/02/2020,6,0,1,6,,,0
06/02/2020,6,0,,6,,,
07/02/2020,11,0,,11,,,
07/02/2020,6,0,1,6,,,0
08/02/2020,11,0,,11,,,
08/02/2020,11,0,1,11,,,0
09/02/2020,11,0,1,11,,,0
10/02/2020,11,0,,11,,,
10/02/2020,11,0,1,11,,,0
11/02/2020,11,0,,11,,,
12/02/2020,11,0,,11,,,
12/02/2020,11,0,1,9,,,2
13/02/2020,11,0,1,8,,,3
15/02/2020,12,1,,7,,,4
17/02/2020,12,1,,,,,
19/02/2020,12,1,,4,,,7
20/02/2020,12,1,,11,,,
21/02/2020,12,1,,1,,,10
23/02/2020,12,1,,1,,,10
24/02/2020,12,1,,,,,11
25/02/2020,12,1,,,,,
25/02/2020,14,1,,2,,,11
26/02/2020,17,2,,,,,
26/02/2020,18,2,,4,,,12
27/02/2020,38,2,2,24,,,12
28/02/2020,38,2,,,,,
28/02/2020,57,2,,,,,
29/02/2020,73,2,,,,,
29/02/2020,100,2,9,86,,,12
01/03/2020,130,2,9,116,,,12
02/03/2020,178,3,,,,,
02/03/2020,191,3,,,,,
03/03/2020,212,4,,,,,
03/03/2020,212,4,,,,,12
04/03/2020,285,4,15,,,,
04/03/2020,285,4,15,,,,
05/03/2020,423,5,23,,,,
05/03/2020,423,7,23,,,,
06/03/2020,613,9,39,,,,
06/03/2020,613,9,39,,,,
07/03/2020,949,11,45,,,,
07/03/2020,949,16,45,,,,
08/03/2020,1126,19,,,,,
09/03/2020,1412,30,,,,,
09/03/2020,1412,25,66,,,,
10/03/2020,1784,33,,,,,
10/03/2020,1784,33,86,,,,
11/03/2020,2281,48,,,,,
11/03/2020,2281,48,105,,,,
12/03/2020,2876,61,,,,,
12/03/2020,2876,61,129,,,,
13/03/2020,3661,79,,,,,
14/03/2020,4499,91,,,,,
14/03/2020,4500,91,300,,,,
15/03/2020,5423,127,,,,,
15/03/2020,5423,127,,400,,,
16/03/2020,6633,148,,,,,
17/03/2020,7730,175,,,,,
17/03/2020,7730,175,699,2579,,,602
18/03/2020,9134,244,,,,,
18/03/2020,9134,264,931,3626,,,1000
18/03/2020,,218,771,2972,,,816
19/03/2020,10995,372,,,,,
19/03/2020,10995,372,1122,4461,,,1300
19/03/2020,,327,1002,4073,2229,438,1180
20/03/2020,12612,450,1297,5226,,,
20/03/2020,12612,450,1297,5226,,,1587
20/03/2020,,450,1297,5226,1256,242,1587
21/03/2020,14459,562,1525,6172,,,
21/03/2020,14459,562,1525,6172,,,
21/03/2020,,525,1453,5900,1540,298,1811
22/03/2020,16689,674,1746,7240,,,
22/03/2020,16689,674,1746,7240,,,2200
22/03/2020,,632,1674,6954,1534,309,2117
23/03/2020,19856,860,2082,8675,,,
23/03/2020,19856,860,2082,8675,,,
23/03/2020,,860,2080,8673,2053,448,2567
24/03/2020,22302,1100,,,,,
24/03/2020,22302,1100,2516,10176,,,3281
24/03/2020,,1100,2503,10163,2618,571,3281
25/03/2020,25233,1331,,,,,
25/03/2020,25233,1331,2827,11539,,,3900
25/03/2020,,1388,2935,12072,3166,607,4085
26/03/2020,29155,1696,,,,,
26/03/2020,29155,1696,3375,13904,,,4948
26/03/2020,,1696,3351,13879,3097,612,4947
